Wave,HbO,HbR
826,956.4,693.32
828,965.2,693.2
830,974.0,693.04
832,982.8,692.92
834,991.6,692.76
836,1001.2,692.64
838,1011.6,692.48
840,1022.0,692.36
842,1032.4,692.2
844,1042.8,691.96
846,1050.0,691.76
848,1054.0,691.52
850,1058.0,691.32
852,1062.0,691.08
854,1066.0,690.88
856,1072.8,690.64
858,1082.4,692.44
860,1092.0,694.32
862,1101.6,696.2
864,1111.2,698.04
866,1118.4,699.92
868,1123.2,701.8
870,1128.0,705.84
872,1132.8,709.96
874,1137.6,714.08
876,1142.8,718.2
878,1148.4,722.32
880,1154.0,726.44
882,1159.6,729.84
884,1165.2,733.2
886,1170.0,736.6
888,1174.0,739.96
890,1178.0,743.6
892,1182.0,747.24
894,1186.0,750.88
896,1190.0,754.52
898,1194.0,758.16
900,1198.0,761.84
902,1202.0,765.04
904,1206.0,767.44
906,1209.2,769.8
908,1211.6,772.16
910,1214.0,774.56
912,1216.4,776.92
914,1218.8,778.4
916,1220.8,778.04
918,1222.4,777.72
920,1224.0,777.36
922,1225.6,777.04
924,1227.2,776.64
926,1226.8,772.36
928,1224.4,768.08
930,1222.0,763.84
932,1219.6,752.28
934,1217.2,737.56
936,1215.6,722.88
938,1214.8,708.16
940,1214.0,693.44
942,1213.2,678.72
944,1212.4,660.52
946,1210.4,641.08
948,1207.2,621.64
950,1204.0,602.24
952,1200.8,583.4
954,1197.6,568.92
956,1194.0,554.48
958,1190.0,540.04
960,1186.0,525.56
962,1182.0,511.12
964,1178.0,495.36
966,1173.2,473.32
968,1167.6,451.32
970,1162.0,429.32
972,1156.4,415.28
974,1150.8,402.28
976,1144.0,389.288
978,1136.0,374.944
980,1128.0,359.656
982,1120.0,344.372
984,1112.0,329.084
986,1102.4,313.796
988,1091.2,298.508
990,1080.0,283.22
992,1068.8,267.932
994,1057.6,252.648
996,1046.4,237.36
998,1035.2,222.072
1000,1024.0,206.784
